player_id,last_season,current_club_id,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,domestic_competition_id,club_pretty_name
342229,2021,583,Kylian Mbappe,France,France,1998/12/20,Attack,Right,178,144000000,180000000,FR1,Fc Paris Saint Germain
418560,2021,16,Erling Haaland,England,Norway,2000/7/21,Attack,Left,194,135000000,135000000,L1,Borussia Dortmund
371998,2021,418,Vinicius Junior,Brazil,Brazil,2000/7/12,Attack,Right,176,90000000,90000000,ES1,Real Madrid
148455,2021,31,Mohamed Salah,Egypt,Egypt,1992/6/15,Attack,Left,175,81000000,135000000,GB1,Fc Liverpool
406635,2021,281,Phil Foden,England,England,2000/5/28,Midfield,Left,171,81000000,81000000,GB1,Manchester City
132098,2021,148,Harry Kane,England,England,1993/7/28,Attack,Right,188,81000000,135000000,GB1,Tottenham Hotspur
357498,2021,506,Du Scaron An Vlahovi?,Yugoslavia (Republic),Serbia,2000/1/28,Attack,Left,190,76500000,76500000,IT1,Juventus Turin
88755,2021,281,Kevin De Bruyne,Belgium,Belgium,1991/6/28,Attack,Right,181,76500000,135000000,GB1,Manchester City
240306,2021,985,Bruno Fernandes,Portugal,Portugal,1994/9/8,Attack,Right,179,76500000,81000000,GB1,Manchester United
161056,2021,27,Joshua Kimmich,Germany,Germany,1995/2/8,Midfield,Right,177,76500000,81000000,L1,Fc Bayern Munchen
314353,2021,31,Trent Alexander Arnold,England,England,1998/10/7,Defender,Right,180,72000000,99000000,GB1,Fc Liverpool
241641,2021,281,Bernardo Silva,Portugal,Portugal,1994/8/10,Attack,Left,173,72000000,90000000,GB1,Manchester City
357565,2021,281,Rodri,Spain,Spain,1996/6/22,Midfield,Right,191,72000000,72000000,GB1,Manchester City
683840,2021,131,Pedri,Spain,Spain,2002/11/25,Midfield,Right,174,72000000,72000000,ES1,Fc Barcelona
68290,2021,583,Neymar,Brazil,Brazil,1992/2/5,Attack,Right,175,67500000,162000000,FR1,Fc Paris Saint Germain
406625,2021,46,Lautaro Martinez,Argentina,Argentina,1997/8/22,Attack,Right,174,67500000,72000000,IT1,Inter Mailand
258004,2021,281,Ruben Dias,Portugal,Portugal,1997/5/14,Defender,Right,187,67500000,67500000,GB1,Manchester City
401173,2021,985,Jadon Sancho,England,England,2000/3/25,Attack,Right,180,67500000,117000000,GB1,Manchester United
346483,2021,631,Mason Mount,England,England,1999/1/10,Attack,Right,180,67500000,67500000,GB1,Fc Chelsea
91845,2021,148,Heung Min Son,"Korea, South","Korea, South",1992/7/8,Attack,Both,184,67500000,81000000,GB1,Tottenham Hotspur
357662,2021,379,Declan Rice,England,England,1999/1/14,Midfield,Right,188,67500000,67500000,GB1,West Ham United
581678,2021,16,Jude Bellingham,England,England,2003/6/29,Midfield,Right,186,67500000,67500000,L1,Borussia Dortmund
266302,2021,398,Sergej Milinkovi? Savi?,Spain,Serbia,1995/2/27,Midfield,Right,191,63000000,81000000,IT1,Lazio Rom
181767,2021,583,Marquinhos,Brazil,Brazil,1994/5/14,Defender,Right,183,63000000,67500000,FR1,Fc Paris Saint Germain
357164,2021,5,Rafael Leao,Portugal,Portugal,1999/6/10,Attack,Right,188,63000000,63000000,IT1,Ac Mailand
326031,2021,506,Matthijs De Ligt,Netherlands,Netherlands,1999/8/12,Defender,Right,189,63000000,67500000,IT1,Juventus Turin
255942,2021,46,Nicolo Barella,Italy,Italy,1997/2/7,Midfield,Right,172,63000000,63000000,IT1,Inter Mailand
96341,2021,631,Romelu Lukaku,Belgium,Belgium,1993/5/13,Attack,Left,191,63000000,90000000,GB1,Fc Chelsea
200512,2021,31,Sadio Mane,Senegal,Senegal,1992/4/10,Attack,Right,174,63000000,135000000,GB1,Fc Liverpool
203460,2021,281,Jack Grealish,England,England,1995/9/10,Attack,Right,180,63000000,90000000,GB1,Manchester City
134425,2021,281,Raheem Sterling,Jamaica,England,1994/12/8,Attack,Right,170,63000000,144000000,GB1,Manchester City
309400,2021,631,Kai Havertz,Germany,Germany,1999/6/11,Attack,Left,190,63000000,81000000,GB1,Fc Chelsea
462250,2021,13,Joao Felix,Portugal,Portugal,1999/11/10,Attack,Both,181,63000000,90000000,ES1,Atletico Madrid
369081,2021,418,Federico Valverde,Uruguay,Uruguay,1998/7/22,Midfield,Right,182,63000000,63000000,ES1,Real Madrid
159471,2021,27,Serge Gnabry,Germany,Germany,1995/7/14,Attack,Right,176,63000000,81000000,L1,Fc Bayern Munchen
192565,2021,27,Leroy Sane,Germany,Germany,1996/1/11,Attack,Left,183,63000000,90000000,L1,Fc Bayern Munchen
153084,2021,27,Leon Goretzka,Germany,Germany,1995/2/6,Midfield,Right,189,63000000,63000000,L1,Fc Bayern Munchen
424204,2021,27,Alphonso Davies,Ghana,Canada,2000/11/2,Defender,Left,183,63000000,72000000,L1,Fc Bayern Munchen
598577,2021,15,Florian Wirtz,Germany,Germany,2003/5/3,Attack,Right,176,63000000,63000000,L1,Bayer 04 Leverkusen
